id,term,definition,category_id,popularity_score,contributor_id,is_approved,is_featured,is_nsfw,metadata,created_at,updated_at
16a0dc53-6b1a-49cb-9433-1338677a2d49,forest,Wooded natural area,747f9fe1-c433-4174-9dfa-5c9e205fa4d2,87,,t,f,f,{},2025-09-17 01:47:00.256028,2025-09-17 01:47:00.256028
2c680f3e-d016-4564-9fe6-1f676cad2c08,ethereal,Extremely delicate and light,c4f88858-e01e-4863-8f6e-396e085705c7,75,,t,f,f,{},2025-09-17 01:47:00.256028,2025-09-17 01:47:00.256028
32ef27a3-fd99-4a11-bc70-b63cbdc5d422,warrior,A brave fighter or soldier,1de53e83-820b-4993-b362-59f6e3b609e7,85,,t,f,f,{},2025-09-17 01:47:00.256028,2025-09-17 01:47:00.256028
350216a7-b2b9-4302-9dd0-7679ea69b898,golden hour,Warm light during sunrise/sunset,cd0f665a-ff58-4b7b-8950-d53ea96ad081,88,,t,f,f,{},2025-09-17 01:47:00.256028,2025-09-17 01:47:00.256028
37712307-7e6b-4af1-b222-3ea96bbd9292,urban,City environment,747f9fe1-c433-4174-9dfa-5c9e205fa4d2,92,,t,f,f,{},2025-09-17 01:47:00.256028,2025-09-17 01:47:00.256028
427aa043-7ddd-4719-ad25-396e468ae61b,metallic,Metal-like surface,26668786-d8ff-4ecb-9427-00b137dedc79,65,,t,f,f,{},2025-09-17 01:47:00.256028,2025-09-17 01:47:00.256028
43e1d385-6821-458c-afe5-17c81803d54a,aerial view,View from above,da2500aa-2b77-4517-a932-e810774877a8,68,,t,f,f,{},2025-09-17 01:47:00.256028,2025-09-17 01:47:00.256028
45075b24-19f7-4268-8915-8b4f5758d50e,mage,A magical spellcaster,1de53e83-820b-4993-b362-59f6e3b609e7,90,,t,f,f,{},2025-09-17 01:47:00.256028,2025-09-17 01:47:00.256028
54303c57-cdb8-4ed1-9c55-bcbddab481d5,dramatic lighting,High contrast illumination,cd0f665a-ff58-4b7b-8950-d53ea96ad081,82,,t,f,f,{},2025-09-17 01:47:00.256028,2025-09-17 01:47:00.256028
5c6dacd0-5840-4eed-87d4-09288162dfc2,cyberpunk,Futuristic dystopian aesthetic,c4f88858-e01e-4863-8f6e-396e085705c7,95,,t,f,f,{},2025-09-17 01:47:00.256028,2025-09-17 01:47:00.256028
76fe067f-5ff7-4480-8bfb-226a6226efff,mysterious,Enigmatic and intriguing,8d07c850-05fb-4792-9baf-90025632f7ca,80,,t,f,f,{},2025-09-17 01:47:00.256028,2025-09-17 01:47:00.256028
77dcf97d-dc02-47df-94df-0bbc207c8d6f,crystalline,Crystal-like structure,26668786-d8ff-4ecb-9427-00b137dedc79,73,,t,f,f,{},2025-09-17 01:47:00.256028,2025-09-17 01:47:00.256028
88cd2bd1-76cf-4b51-8852-790fd28d230f,serene,Calm and peaceful,8d07c850-05fb-4792-9baf-90025632f7ca,72,,t,f,f,{},2025-09-17 01:47:00.256028,2025-09-17 01:47:00.256028
91a9c52b-f34b-4428-8ff4-a7d139f2bc9b,monochrome,Single color or grayscale,bff30814-8090-4a25-80b5-bd54576edf1b,70,,t,f,f,{},2025-09-17 01:47:00.256028,2025-09-17 01:47:00.256028
dc1c2fef-67f7-43c8-83a1-deb3245f18fd,close-up,Detailed view from short distance,da2500aa-2b77-4517-a932-e810774877a8,85,,t,f,f,{},2025-09-17 01:47:00.256028,2025-09-17 01:47:00.256028
e9f68398-3097-419a-9418-0bf4f6fa28ad,neon,Bright fluorescent colors,bff30814-8090-4a25-80b5-bd54576edf1b,78,,t,f,f,{},2025-09-17 01:47:00.256028,2025-09-17 01:47:00.256028
